start work: n_jobs=1, start=1646840951.3882332
  integrate [0.7440614179554773, 0.8267349088394192] starts in 1646840955.5544631
  integrate [0.8267349088394192, 0.9094083997233612] starts in 1646840955.5544631
  integrate [0.9094083997233612, 0.992081890607303] starts in 1646840955.5544631
  integrate [0.992081890607303, 1.074755381491245] starts in 1646840955.5544631
  integrate [1.074755381491245, 1.1574288723751869] starts in 1646840955.5544631
  integrate [1.1574288723751869, 1.2401023632591288] starts in 1646840955.5544631
  integrate [1.2401023632591288, 1.3227758541430708] starts in 1646840955.5544631
  integrate [1.3227758541430708, 1.4054493450270127] starts in 1646840955.5544631
  integrate [1.4054493450270127, 1.4881228359109546] starts in 1646840955.5544631
  integrate [1.4881228359109546, 1.5707963267948966] starts in 1646840955.5544631

start work: n_jobs=20, start=1646840955.6835196
  integrate [0.0, 0.07853981633974483] starts in 1646840955.8060017
  integrate [0.07853981633974483, 0.15707963267948966] starts in 1646840955.8060017
  integrate [0.15707963267948966, 0.23561944901923448] starts in 1646840955.8529122
  integrate [0.23561944901923448, 0.3141592653589793] starts in 1646840955.8529122
  integrate [0.39269908169872414, 0.47123889803846897] starts in 1646840955.8529122
  integrate [0.47123889803846897, 0.5497787143782138] starts in 1646840955.8529122
  integrate [0.3141592653589793, 0.39269908169872414] starts in 1646840955.8529122
  integrate [0.5497787143782138, 0.6283185307179586] starts in 1646840955.8529122
  integrate [0.6283185307179586, 0.7068583470577035] starts in 1646840955.8529122
  integrate [0.7068583470577035, 0.7853981633974483] starts in 1646840955.8529122
  integrate [0.7853981633974483, 0.8639379797371931] starts in 1646840955.8529122
  integrate [0.8639379797371931, 0.9424777960769379] starts in 1646840955.8529122
  integrate [0.9424777960769379, 1.0210176124166828] starts in 1646840955.8529122
  integrate [1.0210176124166828, 1.0995574287564276] starts in 1646840955.8529122
  integrate [1.0995574287564276, 1.1780972450961724] starts in 1646840955.9532077
  integrate [1.1780972450961724, 1.2566370614359172] starts in 1646840955.9532077
  integrate [1.2566370614359172, 1.335176877775662] starts in 1646840955.9532077
  integrate [1.335176877775662, 1.413716694115407] starts in 1646840955.9532077
  integrate [1.413716694115407, 1.4922565104551517] starts in 1646840955.9532077
  integrate [1.4922565104551517, 1.5707963267948966] starts in 1646840955.9532077

start work: n_jobs=21, start=1646840956.0733106
  integrate [0.0, 0.07479982508547127] starts in 1646840956.2068937
  integrate [0.07479982508547127, 0.14959965017094254] starts in 1646840956.2068937
  integrate [0.14959965017094254, 0.2243994752564138] starts in 1646840956.2068937
  integrate [0.2243994752564138, 0.2991993003418851] starts in 1646840956.2068937
  integrate [0.2991993003418851, 0.37399912542735636] starts in 1646840956.2068937
  integrate [0.37399912542735636, 0.4487989505128276] starts in 1646840956.2068937
  integrate [0.4487989505128276, 0.5235987755982989] starts in 1646840956.2068937
  integrate [0.5235987755982989, 0.5983986006837702] starts in 1646840956.2068937
  integrate [0.5983986006837702, 0.6731984257692414] starts in 1646840956.2068937
  integrate [0.6731984257692414, 0.7479982508547127] starts in 1646840956.2068937
  integrate [0.7479982508547127, 0.822798075940184] starts in 1646840956.2068937
  integrate [0.822798075940184, 0.8975979010256552] starts in 1646840956.2068937
  integrate [0.8975979010256552, 0.9723977261111265] starts in 1646840956.3540838
  integrate [0.9723977261111265, 1.0471975511965979] starts in 1646840956.3540838
  integrate [1.0471975511965979, 1.121997376282069] starts in 1646840956.3540838
  integrate [1.121997376282069, 1.1967972013675403] starts in 1646840956.3540838
  integrate [1.1967972013675403, 1.2715970264530116] starts in 1646840956.3540838
  integrate [1.2715970264530116, 1.3463968515384828] starts in 1646840956.3540838
  integrate [1.3463968515384828, 1.421196676623954] starts in 1646840956.3540838
  integrate [1.421196676623954, 1.4959965017094254] starts in 1646840956.3540838
  integrate [1.4959965017094254, 1.5707963267948966] starts in 1646840956.3540838

start work: n_jobs=22, start=1646840956.4969733
  integrate [0.0, 0.07139983303613166] starts in 1646840956.6233385
  integrate [0.07139983303613166, 0.14279966607226333] starts in 1646840956.6233385
  integrate [0.14279966607226333, 0.21419949910839498] starts in 1646840956.6389601
